"Sp","Ploidy","Pop","ID","All","SpPloidy","Name","Lat","Long","PopPloidy","PC1","PC2","PC3","PC4","PC5"
"CD",2,"IP",10,"CD2_IP_10","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-17.8454445321015,-25.9868201283137,-28.148622737646,25.0229267559466,-59.0831474627864
"CD",2,"IP",11,"CD2_IP_11","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.8926543703125,-26.5761622422587,-28.7993877524315,30.3369362882029,-71.9562281718964
"CD",2,"IP",12,"CD2_IP_12","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-23.6701698843838,-29.2135316100659,-25.1816382664686,24.7532571921185,-53.2814793626671
"CD",2,"IP",1,"CD2_IP_1","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.1553410588933,-27.6849412145181,-30.1264129203894,28.8732358382266,-67.6524633108728
"CD",2,"IP",2,"CD2_IP_2","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2489519906623,-22.8937720790789,-31.8065384277488,30.1645788316478,-78.3485189969205
"CD",2,"IP",3,"CD2_IP_3","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.2496900843263,-28.7213482753402,-28.3542576702751,26.063911497787,-64.9190368477564
"CD",2,"IP",4,"CD2_IP_4","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.3630768783262,-26.8043426824042,-29.4030251642998,31.7391869390287,-77.1023310995267
"CD",2,"IP",5,"CD2_IP_5","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.3735640612539,-28.2674502145404,-29.6161881836132,30.1559370167423,-72.5375038408969
"CD",2,"IP",6,"CD2_IP_6","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2874633853423,-28.2204682480416,-27.3431702318475,31.7764339067078,-74.0539823819528
"CD",2,"IP",7,"CD2_IP_7","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2574141910342,-28.0488786785644,-30.8518345616329,31.1195857987153,-73.4580725780543
"CD",2,"IP",8,"CD2_IP_8","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.2946230959317,-30.002573884149,-29.7219277511968,31.8790985162208,-74.9727828329869
"CD",2,"IP",9,"CD2_IP_9","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.473485548147,-27.1845014152835,-29.2794039312125,29.7577800080511,-69.4907293629292
"CD",2,"LA",10,"CD2_LA_10","CD2","Lake Valley",38.29264,-114.51919,"LA2",-20.9067679226784,12.618837001699,23.9831518763444,5.33053666847382,10.1169820784465
"CD",2,"LA",11,"CD2_LA_11","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.6132682263015,44.101988002271,33.9173293690232,6.19883447216254,-1.87577047416548
"CD",2,"LA",1,"CD2_LA_1","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.8699116921569,45.2538872899325,32.5644777065471,6.06602178928539,-1.48424908534876
"CD",2,"LA",2,"CD2_LA_2","CD2","Lake Valley",38.29264,-114.51919,"LA2",-65.8238688670601,43.3342593777462,29.2681600833016,6.2974984821135,-2.67356542351196
"CD",2,"LA",3,"CD2_LA_3","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.1551068612153,40.2771490216379,33.4893933909427,4.99732953552419,-1.3394598287436
"CD",2,"LA",6,"CD2_LA_6","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.8024179620115,45.3298925190299,32.3723563910118,6.75891589519038,-0.655892277499553
"CD",2,"LA",7,"CD2_LA_7","CD2","Lake Valley",38.29264,-114.51919,"LA2",-69.0686974474522,44.0264228411319,33.568440392771,4.70799332766486,-0.891440398554207
"CD",2,"LA",8,"CD2_LA_8","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.9323371318629,46.1383729385931,31.1001324085373,7.86392569736941,-0.373162227650787
"CD",2,"LS",10,"CD2_LS_10","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",57.4562979763169,-10.3398859223726,11.3663516638117,9.03954246876142,3.23869360785423
"CD",2,"LS",11,"CD2_LS_11","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1469102235598,-6.76563728828479,24.0417003461455,2.33841109139484,25.8995203220475
"CD",2,"LS",12,"CD2_LS_12","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",94.9308483776529,-7.4490663254806,24.4158611661079,2.21346254749898,24.0489170213269
"CD",2,"LS",1,"CD2_LS_1","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",98.9486589054407,-6.27049093119625,25.2882051721879,1.92777840889299,27.480680379274
"CD",2,"LS",2,"CD2_LS_2","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",97.8327116323821,-6.74855209066414,24.7660207799342,2.03925544475998,22.1145449357696
"CD",2,"LS",3,"CD2_LS_3","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",98.753786437595,-7.5638433282345,25.3495079276864,3.09251188168272,26.7889415622069
"CD",2,"LS",4,"CD2_LS_4","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.4698559401996,-6.44136019211096,22.6999749150913,2.62234648839379,20.8249019003387
"CD",2,"LS",5,"CD2_LS_5","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",101.905669655295,-7.44245380231708,27.4260891621984,2.20675116833003,31.1046345159201
"CD",2,"LS",6,"CD2_LS_6","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1867214457026,-6.63171723259999,24.1728239602363,2.2701210803111,22.5754603900803
"CD",2,"LS",7,"CD2_LS_7","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",78.7548337400196,-7.71970007630195,13.4463159243807,1.16029384841717,23.6968236921055
"CD",2,"LS",8,"CD2_LS_8","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",101.124864453213,-6.79413079298142,26.2000807068558,2.04677289504133,27.8591486339225
"CD",2,"LS",9,"CD2_LS_9","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",97.7656767211252,-6.76572879583795,23.236186923583,2.12105669538399,23.8265118129331
"CD",2,"MM",10,"CD2_MM_10","CD2","Mono Mills",37.9075,-118.95347,"MM2",-77.1480959879484,75.2588767382036,57.898106631449,36.9145484911119,5.61926258597929
"CD",2,"MM",11,"CD2_MM_11","CD2","Mono Mills",37.9075,-118.95347,"MM2",-76.2228017490751,72.3362713030057,57.5175886167698,37.4454403049465,5.62998325272848
"CD",2,"MM",12,"CD2_MM_12","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.8338746911303,73.3119013849516,57.1624196718252,37.7593818285936,4.32824381991688
"CD",2,"MM",1,"CD2_MM_1","CD2","Mono Mills",37.9075,-118.95347,"MM2",-30.0464986526896,40.7662392032788,37.5569570763628,18.9779905226697,3.30129846325069
"CD",2,"MM",2,"CD2_MM_2","CD2","Mono Mills",37.9075,-118.95347,"MM2",-77.8248407490949,76.0512468300964,59.8754139465864,40.1590831216753,5.3229491218586
"CD",2,"MM",3,"CD2_MM_3","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.0124334789745,71.4620979268344,53.9456441070489,34.817691333952,6.31286764459822
"CD",2,"MM",4,"CD2_MM_4","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.6231332456489,68.066427210828,52.6366570563859,33.4570126927218,3.83086060754059
"CD",2,"MM",5,"CD2_MM_5","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.8265584373919,72.5553307522855,59.0534857462812,37.7652447231749,5.81185433346039
"CD",2,"MM",6,"CD2_MM_6","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.3374874404684,72.3224138010653,56.1329096080971,36.238041201567,4.98561009359855
"CD",2,"MM",7,"CD2_MM_7","CD2","Mono Mills",37.9075,-118.95347,"MM2",-76.2929808866001,71.4482425590656,55.0251852117817,34.7982544530735,5.70687791819662
"CD",2,"MM",8,"CD2_MM_8","CD2","Mono Mills",37.9075,-118.95347,"MM2",-70.4807675455405,68.6008844391316,53.2864044738386,35.6653232246244,4.40634581076349
"CD",2,"MM",9,"CD2_MM_9","CD2","Mono Mills",37.9075,-118.95347,"MM2",-75.4899962513155,71.3978569934782,56.9830539252331,37.3341771481773,5.86844031764968
"CD",2,"PM",10,"CD2_PM_10","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",83.7190976065464,-2.90399658316565,10.7702902858871,1.286294050344,-28.2748967891891
"CD",2,"PM",11,"CD2_PM_11","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",83.3363021463671,-2.90752086809984,10.4549001704056,0.102681739906222,-23.761665169859
"CD",2,"PM",12,"CD2_PM_12","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",82.1733656080496,-3.21756484454485,9.80571953420247,1.01383760177391,-32.4027861984913
"CD",2,"PM",1,"CD2_PM_1","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",86.7510452388727,-4.25148093203746,12.2461247782252,0.83899442055975,-24.0643646471713
"CD",2,"PM",2,"CD2_PM_2","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",86.0173099496497,-4.18202849972187,12.2398330339787,0.0236609084723534,-28.0122825309248
"CD",2,"PM",3,"CD2_PM_3","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",85.2218644868997,-3.55909654323232,11.3293130349886,0.575005954880095,-21.7139274287586
"CD",2,"PM",4,"CD2_PM_4","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",85.3216272659221,-3.86326232211654,11.7223388513745,0.817801844729572,-23.9196104819515
"CD",2,"PM",5,"CD2_PM_5","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",84.9921394719896,-3.48572294205284,11.2802742951607,0.784465473243385,-33.5746925139651
"CD",2,"PM",6,"CD2_PM_6","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",85.3748561526817,-3.22911905672312,12.6957822886811,0.436948895458152,-28.796314253577
"CD",2,"PM",7,"CD2_PM_7","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",84.2699968343805,-4.45454117108931,10.6008005970585,0.820261612070023,-23.8576573074974
"CD",2,"PM",8,"CD2_PM_8","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",84.9124043803418,-4.14161322034927,11.383063127174,1.38371463902102,-19.3210228861813
"CD",2,"PM",9,"CD2_PM_9","CD2","Pomeroy Rd",46.1748,-117.5381,"PM2",84.2395735761593,-3.81754106356802,11.2902032870332,0.116911176629704,-28.4089983843068
"CD",2,"RC",10,"CD2_RC_10","CD2","Rush Creek",37.94942,-119.05962,"RC2",-75.6920883052794,70.7884370890845,54.7009487841147,34.7264040794447,4.87390039078549
"CD",2,"RC",11,"CD2_RC_11","CD2","Rush Creek",37.94942,-119.05962,"RC2",-75.1152781815066,67.7756251313428,50.4645560723045,31.5243812707864,4.75185320655282
"CD",2,"RC",12,"CD2_RC_12","CD2","Rush Creek",37.94942,-119.05962,"RC2",-77.3261613095023,76.1772696804317,61.5717720304405,40.0457581364039,5.10125309245968
"CD",2,"RC",1,"CD2_RC_1","CD2","Rush Creek",37.94942,-119.05962,"RC2",-75.8875018468292,70.8034624752612,53.6033531700585,34.3917363305557,4.76205744110686
"CD",2,"RC",2,"CD2_RC_2","CD2","Rush Creek",37.94942,-119.05962,"RC2",-78.9567340912269,81.0531145503074,66.7168898629667,44.1453287703373,6.07306574578195
"CD",2,"RC",3,"CD2_RC_3","CD2","Rush Creek",37.94942,-119.05962,"RC2",-73.9152999798484,70.1035600311457,55.0652556533102,34.6344657875011,5.04144397593306
"CD",2,"RC",4,"CD2_RC_4","CD2","Rush Creek",37.94942,-119.05962,"RC2",-76.3776525873743,76.1874544704533,60.9871473357246,39.8260670456655,5.60949071777647
"CD",2,"RC",5,"CD2_RC_5","CD2","Rush Creek",37.94942,-119.05962,"RC2",-80.1746597349094,80.9005700549782,67.0034153978242,43.8835927303294,6.05330094194374
"CD",2,"RC",6,"CD2_RC_6","CD2","Rush Creek",37.94942,-119.05962,"RC2",-75.7830899473755,73.186078556998,57.3758846681936,37.5974425031929,5.24059717083826
"CD",2,"RC",7,"CD2_RC_7","CD2","Rush Creek",37.94942,-119.05962,"RC2",-76.9431928564145,74.7523211059427,59.7867565904955,39.1791855305314,6.33593495449662
"CD",2,"RC",8,"CD2_RC_8","CD2","Rush Creek",37.94942,-119.05962,"RC2",-76.0793311450816,72.6717843357387,57.7768940808357,37.7526733662557,5.7314323710165
"CD",2,"RC",9,"CD2_RC_9","CD2","Rush Creek",37.94942,-119.05962,"RC2",-79.0195790865221,77.6373436045174,61.0254851379137,40.8964149308523,6.07760126325601
"CD",2,"SA",10,"CD2_SA_10","CD2","South Alkali",44.02841,-117.1935,"SA2",93.2819547649215,-2.82506212247458,16.6216932978989,-1.24962532070881,10.2075760650494
"CD",2,"SA",11,"CD2_SA_11","CD2","South Alkali",44.02841,-117.1935,"SA2",56.8680104952455,-30.2385135708216,7.88840321621193,11.521102998037,19.1595168440833
"CD",2,"SA",12,"CD2_SA_12","CD2","South Alkali",44.02841,-117.1935,"SA2",40.8001459299193,-20.2451880958856,-1.13334392012815,3.81808565717988,17.8117264196786
"CD",2,"SA",1,"CD2_SA_1","CD2","South Alkali",44.02841,-117.1935,"SA2",96.6754844251845,-4.56122156275167,17.8722222829696,-1.22009895423361,9.72412762233025
"CD",2,"SA",2,"CD2_SA_2","CD2","South Alkali",44.02841,-117.1935,"SA2",97.7731931255898,-4.62608349605542,17.832692132239,-0.310391389653138,10.3388149462007
"CD",2,"SA",3,"CD2_SA_3","CD2","South Alkali",44.02841,-117.1935,"SA2",95.6413223932554,-4.81244908970967,17.1625424689601,0.119510961690451,9.62157220374215
"CD",2,"SA",4,"CD2_SA_4","CD2","South Alkali",44.02841,-117.1935,"SA2",95.3828470108338,-4.33147542859717,16.9078176288307,0.0634108142968667,10.2117753432969
"CD",2,"SA",6,"CD2_SA_6","CD2","South Alkali",44.02841,-117.1935,"SA2",94.3396948702634,-3.99479890250207,16.5639766692491,-1.04625616757467,10.6912547880953
"CD",2,"SA",7,"CD2_SA_7","CD2","South Alkali",44.02841,-117.1935,"SA2",95.3098811468632,-4.2704278035596,18.140826893092,-0.920136142289074,11.6080952962138
"CD",2,"SA",8,"CD2_SA_8","CD2","South Alkali",44.02841,-117.1935,"SA2",97.8461898054052,-4.59329754816977,17.4040491370852,-1.55536308816985,11.312294567043
"CD",2,"SA",9,"CD2_SA_9","CD2","South Alkali",44.02841,-117.1935,"SA2",83.4578172780296,2.01594333190543,17.4281818924615,1.91650037361157,11.4019360422548
"CD",2,"SB",10,"CD2_SB_10","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",96.6313440798433,-6.11265779704435,22.2572694776842,2.18550130592185,20.6816767165729
"CD",2,"SB",12,"CD2_SB_12","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",98.0486848559247,-6.57467382254691,23.3616097299484,2.13731553529411,24.2087512317382
"CD",2,"SB",1,"CD2_SB_1","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",97.7630694216002,-7.39938299064657,24.1696187809984,2.58827567591382,24.8213805305072
"CD",2,"SB",2,"CD2_SB_2","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",97.4406652315925,-7.02128801731414,24.0504725678425,2.18233154579121,23.407795930442
"CD",2,"SB",3,"CD2_SB_3","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",99.1468152813289,-7.39257617250112,25.6257702452975,2.02881888254103,26.3400412592053
"CD",2,"SB",4,"CD2_SB_4","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",87.1893806657073,-9.56132416943654,19.3050880745766,3.47649402440778,27.6657370158876
"CD",2,"SB",5,"CD2_SB_5","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",94.2723525284083,-6.50988768399095,21.3142692496187,2.12023653911606,19.5751312496181
"CD",2,"SB",7,"CD2_SB_7","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",99.5549659179876,-7.55928388001723,26.9588746773534,3.31567438995321,28.62681340318
"CD",2,"SB",8,"CD2_SB_8","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",96.5353771326779,-6.55330399695184,22.1323588543783,1.92577288049201,21.0747123759605
"CD",2,"SB",9,"CD2_SB_9","CD2","Stibnite Road MP7",44.9599,-115.38978,"SB2",88.7409728035937,-5.10260517072315,18.0689281209808,-0.873471708267017,22.4046900142046
"CD",2,"UD",10,"CD2_UD_10","CD2","Upper Darling",44.63657,-114.27219,"UD2",96.3187448679093,-7.80233852040477,23.9796796856697,1.36029251572108,24.8080147140835
"CD",2,"UD",11,"CD2_UD_11","CD2","Upper Darling",44.63657,-114.27219,"UD2",97.0226578913424,-6.15101365757971,22.9155065421517,1.81808743501273,18.7385556890608
"CD",2,"UD",12,"CD2_UD_12","CD2","Upper Darling",44.63657,-114.27219,"UD2",98.4442590009387,-6.46142110252136,25.2210370105312,3.26927654444519,23.9411843352368
"CD",2,"UD",1,"CD2_UD_1","CD2","Upper Darling",44.63657,-114.27219,"UD2",97.0919137745432,-5.68155481938388,22.8680118119081,1.6949762990125,21.2974673814684
"CD",2,"UD",2,"CD2_UD_2","CD2","Upper Darling",44.63657,-114.27219,"UD2",94.4970871271284,-6.11712435330558,21.8792557940881,2.10745655045652,19.5476442231505
"CD",2,"UD",3,"CD2_UD_3","CD2","Upper Darling",44.63657,-114.27219,"UD2",98.2227331625487,-6.59163383588572,23.5291190994245,2.81431326393879,22.9569762890808
"CD",2,"UD",4,"CD2_UD_4","CD2","Upper Darling",44.63657,-114.27219,"UD2",98.1395797913152,-6.23125818005873,25.0130110063855,1.36397055605352,23.2579197150208
"CD",2,"UD",6,"CD2_UD_6","CD2","Upper Darling",44.63657,-114.27219,"UD2",96.677843588975,-6.05239825184739,23.3180184347058,1.30837878933575,20.2706132620124
"CD",2,"UD",7,"CD2_UD_7","CD2","Upper Darling",44.63657,-114.27219,"UD2",97.1552812003644,-6.991849572723,23.9795653176961,2.52700511671855,22.9161985897491
"CD",2,"UD",8,"CD2_UD_8","CD2","Upper Darling",44.63657,-114.27219,"UD2",97.1847642511523,-6.2775914396016,22.5498030271724,1.45380313625651,21.5680259484479
"CD",2,"UD",9,"CD2_UD_9","CD2","Upper Darling",44.63657,-114.27219,"UD2",77.9081974925898,0.665596447668175,20.8183023659049,5.07964877875844,13.9186574305748
"CD",4,"BB",10,"CD4_BB_10","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-28.2893469891444,45.0467489143361,-66.406504414464,-42.9557748735652,20.0680616445566
"CD",4,"BB",11,"CD4_BB_11","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.22162481249,46.2709427350687,-63.2059671060103,-39.8907011969481,17.8689491031253
"CD",4,"BB",12,"CD4_BB_12","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-30.0559398759937,46.2357889276673,-64.8278591167416,-41.6803545096889,18.1512534187216
"CD",4,"BB",1,"CD4_BB_1","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.8991553850632,45.7923195598668,-67.3170101223582,-42.6907370053319,19.2574514200633
"CD",4,"BB",2,"CD4_BB_2","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.4696987657715,46.420102667455,-66.8868896865587,-42.7770727556621,19.8082327876071
"CD",4,"BB",3,"CD4_BB_3","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.1678819600272,46.1130857362035,-65.9344860592126,-42.6057080313484,19.1795445891486
"CD",4,"BB",4,"CD4_BB_4","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.1248982670304,46.1976015057229,-65.7368511171038,-42.119862736391,18.5387547864744
"CD",4,"BB",5,"CD4_BB_5","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.5408008400668,43.8142314008183,-64.7712696587101,-41.5162696255029,18.7839973907567
"CD",4,"BB",6,"CD4_BB_6","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-30.0257534554117,44.8969424211506,-59.4903208926005,-38.0912127117935,17.7006122675595
"CD",4,"BB",7,"CD4_BB_7","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-30.0083115334555,44.418943976673,-58.9093320554204,-38.7669129947278,17.4019031790785
"CD",4,"BB",8,"CD4_BB_8","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-29.0576696217175,46.235210304214,-67.5031632785456,-43.1951149099311,20.0165453225062
"CD",4,"BB",9,"CD4_BB_9","CD4","Buckhorn Backcountry Byway",40.86578,-120.09511,"BB4",-28.7821436931473,44.0497217266464,-63.5132392847039,-40.4662526950619,17.326798920956
"CD",4,"CC",10,"CD4_CC_10","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-69.3285449230786,32.5398596797896,25.041407297644,-16.8403270605339,-4.13714351282703
"CD",4,"CC",11,"CD4_CC_11","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-58.1405347754931,31.3992510410019,9.61475555499979,-20.7293807631513,-3.39203427776243
"CD",4,"CC",12,"CD4_CC_12","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-65.5714928896053,31.9625802587347,17.9338731876039,-16.045768601966,-2.28962585609297
"CD",4,"CC",1,"CD4_CC_1","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-71.5865692139628,33.9758027653849,24.7411457468781,-16.0627766255728,-3.14417647438806
"CD",4,"CC",2,"CD4_CC_2","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-68.1041374117505,27.6294793448037,24.6435476982056,-12.4477975187469,-3.17586047012018
"CD",4,"CC",3,"CD4_CC_3","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-69.6037526437942,32.7336110823144,24.5084228441313,-13.8163909028966,-3.86864847896301
"CD",4,"CC",4,"CD4_CC_4","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-69.4145746378541,33.6234786366328,24.3162829953503,-15.6414986384761,-3.51414221814771
"CD",4,"CC",5,"CD4_CC_5","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-69.9335276401925,35.9092932315722,22.2498464359593,-14.7128777618501,-3.55227782315636
"CD",4,"CC",6,"CD4_CC_6","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-68.179932898196,32.0468334845252,25.2180280286364,-17.9561879890804,-3.49882067184686
"CD",4,"CC",7,"CD4_CC_7","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-71.1007785394276,34.553088385916,25.4880325913881,-15.613399327302,-3.17888185490009
"CD",4,"CC",8,"CD4_CC_8","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-67.0910811799979,33.4393211402538,23.1810652132381,-13.5939401744062,-2.7503641419169
"CD",4,"CC",9,"CD4_CC_9","CD4","Cherry Creek Range",40.06267,-114.86072,"CC4",-70.2117253727945,31.5591961636998,26.319655605022,-18.1777533822699,-4.94848395614968
"CD",4,"CL",10,"CD4_CL_10","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-65.0313076326993,59.1752988906545,22.1592205915796,14.8327886645181,2.24919903813664
"CD",4,"CL",11,"CD4_CL_11","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-67.9610096747506,59.8057776772547,27.4198012539901,19.4159041625626,0.740200909946195
"CD",4,"CL",12,"CD4_CL_12","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-69.7113083008419,63.8953411688105,30.2765588255724,19.3763421400185,1.26965893889232
"CD",4,"CL",1,"CD4_CL_1","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-65.2567411819297,56.2548623519997,24.4601724963723,16.954730472721,3.3981362342853
"CD",4,"CL",2,"CD4_CL_2","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-69.3417504109505,63.3955605124292,29.2157956985502,19.0305709012227,1.14278189936497
"CD",4,"CL",3,"CD4_CL_3","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-70.0254212946823,62.2431852851269,31.2724493125837,17.4643381416897,1.13952980190303
"CD",4,"CL",4,"CD4_CL_4","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-66.387819786228,57.9218173147664,27.3916684629842,17.5422810110278,0.0251823508730865
"CD",4,"CL",5,"CD4_CL_5","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-68.0729699616647,61.6901104394527,27.630238732214,17.1957302278536,0.0731502361719027
"CD",4,"CL",6,"CD4_CL_6","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-68.2447901034014,60.0358795571461,28.1751426431316,18.0156097062855,1.37750579460017
"CD",4,"CL",8,"CD4_CL_8","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-66.1962968672593,58.641625164794,26.9620862995651,17.8230279349107,1.12339597961747
"CD",4,"CL",9,"CD4_CL_9","CD4","Clear Creek 1",38.95044,-117.35069,"CL4",-27.9511473167574,26.2104614693017,9.69103251994493,17.8557808413745,-7.42435879237203
"CD",4,"CT",10,"CD4_CT_10","CD4","Catnip Trail",41.90232,-119.43599,"CT4",-12.8212864403495,42.9090576470489,-59.4264493527862,-38.2919522046595,13.6276637179533
