Pop,ID
CH,PM_CH_0366
CH,PM_CH_0367
CH,PM_CH_0368
CH,PM_CH_0369
CH,PM_CH_0370
CH,PM_CH_0371
CH,PM_CH_0372
CH,PM_CH_0373
CH,PM_CH_0374
CH,PM_CH_0375
CH,PM_CH_0376
CH,PM_CH_0377
CH,PM_CH_0378
CH,PM_CH_0379
CH,PM_CH_0380
CH,PM_CH_0381
CH,PM_CH_0382
CH,PM_CH_0383
CH,PM_CH_0384
CP,PM_CP_0324
CP,PM_CP_0325
CP,PM_CP_0326
CP,PM_CP_0327
CP,PM_CP_0328
CP,PM_CP_0329
CP,PM_CP_0330
CP,PM_CP_0331
CP,PM_CP_0332
CP,PM_CP_0333
CP,PM_CP_0334
CP,PM_CP_0335
CP,PM_CP_0336
CP,PM_CP_0337
CP,PM_CP_0338
CP,PM_CP_0339
CP,PM_CP_0341
CP,PM_CP_0342
CP,PM_CP_0294
CP,PM_CP_0295
CP,PM_CP_0296
CP,PM_CP_0297
CP,PM_CP_0298
CP,PM_CP_0299
CP,PM_CP_0300
CP,PM_CP_0301
CP,PM_CP_0302
CP,PM_CP_0303
CP,PM_CP_0304
CP,PM_CP_0305
CP,PM_CP_0306
CP,PM_CP_0307
CP,PM_CP_0308
CP,PM_CP_0309
CP,PM_CP_0310
CP,PM_CP_0311
CP,PM_CP_0312
DC,PM_DC_0211
DC,PM_DC_0212
DC,PM_DC_0213
DC,PM_DC_0214
DC,PM_DC_0215
DC,PM_DC_0217
DC,PM_DC_0218
DC,PM_DC_0219
DC,PM_DC_0220
DC,PM_DC_0221
DC,PM_DC_0222
DC,PM_DC_0223
DC,PM_DC_0224
DC,PM_DC_0225
DC,PM_DC_0226
DC,PM_DC_0227
DC,PM_DC_0228
DC,PM_DC_0229
DC,PM_DC_0230
DC,PM_DC_0231
DC,PM_DC_0232
DC,PM_DC_0233
DC,PM_DC_0234
DC,PM_DC_0235
DC,PM_DC_0237
DC,PM_DC_0238
DC,PM_DC_0239
DC,PM_DC_0240
DM,PM_DM_0242
DM,PM_DM_0243
DM,PM_DM_0244
DM,PM_DM_0245
DM,PM_DM_0246
DM,PM_DM_0247
DM,PM_DM_0248
DM,PM_DM_0249
DM,PM_DM_0250
DM,PM_DM_0251
DM,PM_DM_0252
DM,PM_DM_0253
DM,PM_DM_0254
DM,PM_DM_0255
DM,PM_DM_0256
DM,PM_DM_0257
DM,PM_DM_0258
DM,PM_DM_0259
DM,PM_DM_0260
FR,PM_FR_0009
FR,PM_FR_0010
FR,PM_FR_0011
FR,PM_FR_0012
FR,PM_FR_0013
FR,PM_FR_0014
FR,PM_FR_0015
FR,PM_FR_0016
FR,PM_FR_0017
FR,PM_FR_0018
FR,PM_FR_0020
FR,PM_FR_0021
FR,PM_FR_0022
FR,PM_FR_0023
FR,PM_FR_0024
FR,PM_FR_0025
FR,PM_FR_0026
FR,PM_FR_0027
FR,PM_FR_0028
LO,PM_LO_0395
LO,PM_LO_0396
LO,PM_LO_0397
NR,PM_NR_0065
NR,PM_NR_0066
NR,PM_NR_0067
NR,PM_NR_0068
PA,PM_PA_0049
PA,PM_PA_0050
PA,PM_PA_0051
PA,PM_PA_0052
PA,PM_PA_0053
PA,PM_PA_0054
PA,PM_PA_0055
PA,PM_PA_0056
PA,PM_PA_0057
PA,PM_PA_0058
PA,PM_PA_0059
PA,PM_PA_0061
PA,PM_PA_0062
PA,PM_PA_0063
PB,PM_PB_0264
PB,PM_PB_0265
PB,PM_PB_0266
PB,PM_PB_0267
PB,PM_PB_0268
PB,PM_PB_0269
PB,PM_PB_0270
PB,PM_PB_0271
PB,PM_PB_0272
PB,PM_PB_0273
PB,PM_PB_0274
PB,PM_PB_0275
PB,PM_PB_0276
PB,PM_PB_0277
PB,PM_PB_0278
PB,PM_PB_0279
PB,PM_PB_0280
PB,PM_PB_0282
PP,PM_PP_0154
PP,PM_PP_0155
PP,PM_PP_0156
PP,PM_PP_0157
PP,PM_PP_0158
PP,PM_PP_0159
PP,PM_PP_0160
PP,PM_PP_0161
PP,PM_PP_0162
PR,PM_PR_0163
PR,PM_PR_0164
PR,PM_PR_0165
PR,PM_PR_0166
PR,PM_PR_0167
PR,PM_PR_0168
PR,PM_PR_0169
PR,PM_PR_0170
PR,PM_PR_0171
PR,PM_PR_0173
PR,PM_PR_0174
PR,PM_PR_0175
PR,PM_PR_0177
PR,PM_PR_0178
PR,PM_PR_0180
PR,PM_PR_0181
PR,PM_PR_0182
PR,PM_PR_0183
PR,PM_PR_0184
PR,PM_PR_0185
PR,PM_PR_0186
PR,PM_PR_0188
PR,PM_PR_0189
SP,PM_SP_0190
SP,PM_SP_0191
SP,PM_SP_0192
SP,PM_SP_0193
SP,PM_SP_0194
SP,PM_SP_0195
SP,PM_SP_0196
SP,PM_SP_0197
SP,PM_SP_0198
SP,PM_SP_0199
SP,PM_SP_0200
SP,PM_SP_0201
SP,PM_SP_0202
SP,PM_SP_0203
SP,PM_SP_0204
SP,PM_SP_0205
SP,PM_SP_0206
SP,PM_SP_0207
SP,PM_SP_0208
SP,PM_SP_0209
SR,PM_SR_0029
SR,PM_SR_0030
SR,PM_SR_0031
SR,PM_SR_0033
SR,PM_SR_0034
SR,PM_SR_0035
SR,PM_SR_0036
SR,PM_SR_0038
SR,PM_SR_0039
SR,PM_SR_0040
SR,PM_SR_0041
SR,PM_SR_0042
SR,PM_SR_0043
SR,PM_SR_0044
SR,PM_SR_0045
SR,PM_SR_0046
SR,PM_SR_0047
SR,PM_SR_0048